subject,sex,experiment,condition,testorder,day,trial,elongation
b2,Female,stroking,Synchronous,AB,6,5,69.7205
f2,Female,stroking,Synchronous,AB,6,1,76.129
f2,Female,stroking,Synchronous,AB,6,2,76.7891
f2,Female,stroking,Synchronous,AB,6,3,76.8803
f2,Female,stroking,Synchronous,AB,6,4,76.7743
f2,Female,stroking,Synchronous,AB,6,5,77.0081
l1,Male,stroking,Synchronous,AB,6,1,69.1798
b1,Female,stroking,Synchronous,BA,3,1,73.331
b1,Female,stroking,Synchronous,BA,3,2,74.9755
b1,Female,stroking,Synchronous,BA,3,3,75.1361
b1,Female,stroking,Synchronous,BA,3,4,74.7388
b1,Female,stroking,Synchronous,BA,3,5,74.6139
c1,Female,stroking,Synchronous,BA,3,1,75.7162
c1,Female,stroking,Synchronous,BA,3,2,75.6129
c1,Female,stroking,Synchronous,BA,3,3,75.4684
c1,Female,stroking,Synchronous,BA,3,4,75.9077
c1,Female,stroking,Synchronous,BA,3,5,76.3041
e1,Female,stroking,Synchronous,BA,3,1,74.4047
e1,Female,stroking,Synchronous,BA,3,2,73.7994
e1,Female,stroking,Synchronous,BA,3,3,72.0488
e1,Female,stroking,Synchronous,BA,3,4,72.9029
e1,Female,stroking,Synchronous,BA,3,5,74.2958
i1,Male,stroking,Synchronous,BA,3,1,75.804
i1,Male,stroking,Synchronous,BA,3,2,76.103
i1,Male,stroking,Synchronous,BA,3,3,75.5898
i1,Male,stroking,Synchronous,BA,3,4,76.0711
i1,Male,stroking,Synchronous,BA,3,5,75.491
i2,Male,stroking,Synchronous,BA,3,1,78.0731
i2,Male,stroking,Synchronous,BA,3,2,79.0338
i2,Male,stroking,Synchronous,BA,3,3,77.8042
i2,Male,stroking,Synchronous,BA,3,4,78.7013
i2,Male,stroking,Synchronous,BA,3,5,79.1179
j2,Male,stroking,Synchronous,BA,3,1,79.608
j2,Male,stroking,Synchronous,BA,3,2,77.5117
j2,Male,stroking,Synchronous,BA,3,3,78.8939
j2,Male,stroking,Synchronous,BA,3,4,78.738
j2,Male,stroking,Synchronous,BA,3,5,77.358
b1,Female,stroking,Synchronous,BA,4,1,75.1495
b1,Female,stroking,Synchronous,BA,4,2,75.5975
b1,Female,stroking,Synchronous,BA,4,3,77.1078
b1,Female,stroking,Synchronous,BA,4,4,76.3312
b1,Female,stroking,Synchronous,BA,4,5,76.9668
c1,Female,stroking,Synchronous,BA,4,1,75.4472
c1,Female,stroking,Synchronous,BA,4,2,75.9951
c1,Female,stroking,Synchronous,BA,4,3,75.4932
c1,Female,stroking,Synchronous,BA,4,4,75.9389
c1,Female,stroking,Synchronous,BA,4,5,75.8217
e1,Female,stroking,Synchronous,BA,4,1,77.3377
e1,Female,stroking,Synchronous,BA,4,2,77.004
e1,Female,stroking,Synchronous,BA,4,3,75.836
e1,Female,stroking,Synchronous,BA,4,4,76.3739
e1,Female,stroking,Synchronous,BA,4,5,76.151
i1,Male,stroking,Synchronous,BA,4,1,78.933
i1,Male,stroking,Synchronous,BA,4,2,77.6704
i1,Male,stroking,Synchronous,BA,4,3,76.4466
i1,Male,stroking,Synchronous,BA,4,4,77.5752
i1,Male,stroking,Synchronous,BA,4,5,77.4824
i2,Male,stroking,Synchronous,BA,4,1,78.2324
i2,Male,stroking,Synchronous,BA,4,2,78.4686
i2,Male,stroking,Synchronous,BA,4,3,76.6209
i2,Male,stroking,Synchronous,BA,4,4,79.313
i2,Male,stroking,Synchronous,BA,4,5,77.3352
j2,Male,stroking,Synchronous,BA,4,1,80.6328
j2,Male,stroking,Synchronous,BA,4,2,80.3955
j2,Male,stroking,Synchronous,BA,4,3,81.4861
j2,Male,stroking,Synchronous,BA,4,4,81.9001
j2,Male,stroking,Synchronous,BA,4,5,79.8836
b1,Female,stroking,Synchronous,BA,5,1,77.1857
b1,Female,stroking,Synchronous,BA,5,2,77.5391
b1,Female,stroking,Synchronous,BA,5,3,77.963
b1,Female,stroking,Synchronous,BA,5,4,77.3457
b1,Female,stroking,Synchronous,BA,5,5,76.3089
c1,Female,stroking,Synchronous,BA,5,1,77.8409
c1,Female,stroking,Synchronous,BA,5,2,76.5147
c1,Female,stroking,Synchronous,BA,5,3,77.6078
c1,Female,stroking,Synchronous,BA,5,4,76.5061
c1,Female,stroking,Synchronous,BA,5,5,76.2006
e1,Female,stroking,Synchronous,BA,5,1,75.1648
e1,Female,stroking,Synchronous,BA,5,2,75.6099
e1,Female,stroking,Synchronous,BA,5,3,75.9994
e1,Female,stroking,Synchronous,BA,5,4,75.2579
e1,Female,stroking,Synchronous,BA,5,5,76.8749
i1,Male,stroking,Synchronous,BA,5,1,76.8026
i1,Male,stroking,Synchronous,BA,5,2,76.779
i1,Male,stroking,Synchronous,BA,5,3,76.3476
i1,Male,stroking,Synchronous,BA,5,4,75.4694
i1,Male,stroking,Synchronous,BA,5,5,75.0103
i2,Male,stroking,Synchronous,BA,5,1,78.9351
i2,Male,stroking,Synchronous,BA,5,2,78.9601
i2,Male,stroking,Synchronous,BA,5,3,79.183
i2,Male,stroking,Synchronous,BA,5,4,77.7899
i2,Male,stroking,Synchronous,BA,5,5,75.758
j2,Male,stroking,Synchronous,BA,5,1,77.6574
j2,Male,stroking,Synchronous,BA,5,2,77.7903
j2,Male,stroking,Synchronous,BA,5,3,78.0057
j2,Male,stroking,Synchronous,BA,5,4,77.3877
j2,Male,stroking,Synchronous,BA,5,5,78.4168
b1,Female,stroking,Synchronous,BA,6,1,77.7254
b1,Female,stroking,Synchronous,BA,6,2,76.4617
b1,Female,stroking,Synchronous,BA,6,3,78.2918
b1,Female,stroking,Synchronous,BA,6,4,78.4478
b1,Female,stroking,Synchronous,BA,6,5,77.002
c1,Female,stroking,Synchronous,BA,6,1,76.3297
c1,Female,stroking,Synchronous,BA,6,2,75.7756
c1,Female,stroking,Synchronous,BA,6,3,76.1377
c1,Female,stroking,Synchronous,BA,6,4,76.3804
c1,Female,stroking,Synchronous,BA,6,5,76.1085
e1,Female,stroking,Synchronous,BA,6,1,76.201
e1,Female,stroking,Synchronous,BA,6,2,77.4331
e1,Female,stroking,Synchronous,BA,6,3,77.2016
e1,Female,stroking,Synchronous,BA,6,4,77.2714
e1,Female,stroking,Synchronous,BA,6,5,77.0959
i1,Male,stroking,Synchronous,BA,6,1,78.8046
i1,Male,stroking,Synchronous,BA,6,2,79.0113
i1,Male,stroking,Synchronous,BA,6,3,77.871
i1,Male,stroking,Synchronous,BA,6,4,76.8051
i1,Male,stroking,Synchronous,BA,6,5,75.9127
i2,Male,stroking,Synchronous,BA,6,1,80.1874
i2,Male,stroking,Synchronous,BA,6,2,78.9756
i2,Male,stroking,Synchronous,BA,6,3,78.8044
i2,Male,stroking,Synchronous,BA,6,4,76.4761
i2,Male,stroking,Synchronous,BA,6,5,77.7646
j2,Male,stroking,Synchronous,BA,6,1,79.0292
j2,Male,stroking,Synchronous,BA,6,2,78.2992
j2,Male,stroking,Synchronous,BA,6,3,78.4994
j2,Male,stroking,Synchronous,BA,6,4,77.94
j2,Male,stroking,Synchronous,BA,6,5,77.7031
c1,Female,grasping,Fake Tail,BA,3,1,72.9053
c1,Female,grasping,Fake Tail,BA,3,2,75.0286
c1,Female,grasping,Fake Tail,BA,3,3,75.4382
c1,Female,grasping,Fake Tail,BA,3,4,74.9678
c1,Female,grasping,Fake Tail,BA,3,5,73.9968
e1,Female,grasping,Fake Tail,BA,3,1,76.443
f1,Female,grasping,Fake Tail,BA,3,1,61.9059
f1,Female,grasping,Fake Tail,BA,3,2,63.4394
f1,Female,grasping,Fake Tail,BA,3,3,64.7057
f1,Female,grasping,Fake Tail,BA,3,4,69.6816
j2,Male,grasping,Fake Tail,BA,3,1,69.3018
j2,Male,grasping,Fake Tail,BA,3,2,69.1589
j2,Male,grasping,Fake Tail,BA,3,3,68.5539
j2,Male,grasping,Fake Tail,BA,3,4,71.1078
j2,Male,grasping,Fake Tail,BA,3,5,70.2402
k1,Male,grasping,Fake Tail,BA,3,1,65.6724
k1,Male,grasping,Fake Tail,BA,3,2,72.6791
k1,Male,grasping,Fake Tail,BA,3,3,70.2239
k1,Male,grasping,Fake Tail,BA,3,4,72.1285
k1,Male,grasping,Fake Tail,BA,3,5,65.715
c1,Female,grasping,Fake Tail,BA,4,1,77.7918
c1,Female,grasping,Fake Tail,BA,4,2,77.0639
c1,Female,grasping,Fake Tail,BA,4,3,78.9982
c1,Female,grasping,Fake Tail,BA,4,4,78.81
c1,Female,grasping,Fake Tail,BA,4,5,73.5921
e1,Female,grasping,Fake Tail,BA,4,1,75.1743
e1,Female,grasping,Fake Tail,BA,4,2,76.9239
e1,Female,grasping,Fake Tail,BA,4,3,76.2635
e1,Female,grasping,Fake Tail,BA,4,4,77.358
e1,Female,grasping,Fake Tail,BA,4,5,78.2112
f1,Female,grasping,Fake Tail,BA,4,1,74.3108
f1,Female,grasping,Fake Tail,BA,4,2,73.4544
f1,Female,grasping,Fake Tail,BA,4,3,72.8143
f1,Female,grasping,Fake Tail,BA,4,4,73.5551
f1,Female,grasping,Fake Tail,BA,4,5,72.5088
j2,Male,grasping,Fake Tail,BA,4,1,70.8694
j2,Male,grasping,Fake Tail,BA,4,2,71.4338
j2,Male,grasping,Fake Tail,BA,4,3,72.319
j2,Male,grasping,Fake Tail,BA,4,4,71.4213
j2,Male,grasping,Fake Tail,BA,4,5,71.1988
k1,Male,grasping,Fake Tail,BA,4,1,74.839
k1,Male,grasping,Fake Tail,BA,4,2,74.5299
k1,Male,grasping,Fake Tail,BA,4,3,69.6836
k1,Male,grasping,Fake Tail,BA,4,4,71.6214
k1,Male,grasping,Fake Tail,BA,4,5,70.8892
c1,Female,grasping,Fake Tail,BA,5,1,76.3926
c1,Female,grasping,Fake Tail,BA,5,2,78.2082
c1,Female,grasping,Fake Tail,BA,5,3,77.9113
c1,Female,grasping,Fake Tail,BA,5,4,78.5458
c1,Female,grasping,Fake Tail,BA,5,5,78.282
e1,Female,grasping,Fake Tail,BA,5,1,77.0563
e1,Female,grasping,Fake Tail,BA,5,2,77.065
e1,Female,grasping,Fake Tail,BA,5,3,73.7801
e1,Female,grasping,Fake Tail,BA,5,4,75.9674
e1,Female,grasping,Fake Tail,BA,5,5,74.5033
f1,Female,grasping,Fake Tail,BA,5,1,74.3717
f1,Female,grasping,Fake Tail,BA,5,2,74.4309
f1,Female,grasping,Fake Tail,BA,5,3,74.8397
c1,Female,grasping,Fake Tail,BA,6,1,73.1678
c1,Female,grasping,Fake Tail,BA,6,2,74.594
c1,Female,grasping,Fake Tail,BA,6,3,75.5074
c1,Female,grasping,Fake Tail,BA,6,4,76.2052
c1,Female,grasping,Fake Tail,BA,6,5,75.7388
e1,Female,grasping,Fake Tail,BA,6,1,75.1223
e1,Female,grasping,Fake Tail,BA,6,2,75.7081
e1,Female,grasping,Fake Tail,BA,6,3,72.0867
f1,Female,grasping,Fake Tail,BA,6,1,72.6613
f1,Female,grasping,Fake Tail,BA,6,2,72.4345
f1,Female,grasping,Fake Tail,BA,6,3,72.8915
f1,Female,grasping,Fake Tail,BA,6,4,72.3041
f1,Female,grasping,Fake Tail,BA,6,5,72.8507
i1,Male,grasping,Fake Tail,BA,6,1,68.0654
i1,Male,grasping,Fake Tail,BA,6,2,71.2796
i1,Male,grasping,Fake Tail,BA,6,3,70.5983
i1,Male,grasping,Fake Tail,BA,6,4,68.7727
i1,Male,grasping,Fake Tail,BA,6,5,68.2866
j2,Male,grasping,Fake Tail,BA,6,1,68.4783
j2,Male,grasping,Fake Tail,BA,6,2,71.3112
j2,Male,grasping,Fake Tail,BA,6,3,64.2213
j2,Male,grasping,Fake Tail,BA,6,4,70.6115
j2,Male,grasping,Fake Tail,BA,6,5,68.4026
k1,Male,grasping,Fake Tail,BA,6,1,67.5966
k1,Male,grasping,Fake Tail,BA,6,2,72.0754
k1,Male,grasping,Fake Tail,BA,6,3,73.9828
a1,Female,grasping,Fake Tail,AB,3,1,77.3992
a1,Female,grasping,Fake Tail,AB,3,2,77.1085
a1,Female,grasping,Fake Tail,AB,3,3,77.3096
a1,Female,grasping,Fake Tail,AB,3,4,77.4092
a1,Female,grasping,Fake Tail,AB,3,5,77.5567
d1,Female,grasping,Fake Tail,AB,3,1,69.7707
d1,Female,grasping,Fake Tail,AB,3,2,72.4609
d1,Female,grasping,Fake Tail,AB,3,3,70.9899
d1,Female,grasping,Fake Tail,AB,3,4,71.1817
d1,Female,grasping,Fake Tail,AB,3,5,73.0768
f2,Female,grasping,Fake Tail,AB,3,1,76.5847
f2,Female,grasping,Fake Tail,AB,3,2,76.9271
f2,Female,grasping,Fake Tail,AB,3,3,76.8106
f2,Female,grasping,Fake Tail,AB,3,4,76.8143
f2,Female,grasping,Fake Tail,AB,3,5,77.1397
h2,Male,grasping,Fake Tail,AB,3,2,76.1578
h2,Male,grasping,Fake Tail,AB,3,3,77.2339
h2,Male,grasping,Fake Tail,AB,3,4,76.8605
h2,Male,grasping,Fake Tail,AB,3,5,77.7515
l1,Male,grasping,Fake Tail,AB,3,1,79.4882
l1,Male,grasping,Fake Tail,AB,3,2,81.343
l1,Male,grasping,Fake Tail,AB,3,3,80.9763
l1,Male,grasping,Fake Tail,AB,3,4,79.3602
l1,Male,grasping,Fake Tail,AB,3,5,78.906
a1,Female,grasping,Fake Tail,AB,4,1,74.2424
a1,Female,grasping,Fake Tail,AB,4,2,74.7314
a1,Female,grasping,Fake Tail,AB,4,3,74.9058
a1,Female,grasping,Fake Tail,AB,4,4,74.4198
a1,Female,grasping,Fake Tail,AB,4,5,75.5394
d1,Female,grasping,Fake Tail,AB,4,1,70.3759
d1,Female,grasping,Fake Tail,AB,4,2,69.0573
d1,Female,grasping,Fake Tail,AB,4,3,71.0342
d1,Female,grasping,Fake Tail,AB,4,4,67.867
d1,Female,grasping,Fake Tail,AB,4,5,70.1264
f2,Female,grasping,Fake Tail,AB,4,1,76.7498
f2,Female,grasping,Fake Tail,AB,4,2,75.8977
f2,Female,grasping,Fake Tail,AB,4,3,76.9372
f2,Female,grasping,Fake Tail,AB,4,4,76.453
f2,Female,grasping,Fake Tail,AB,4,5,76.903
h2,Male,grasping,Fake Tail,AB,4,1,77.6455
h2,Male,grasping,Fake Tail,AB,4,2,77.6261
h2,Male,grasping,Fake Tail,AB,4,3,76.4777
h2,Male,grasping,Fake Tail,AB,4,4,78.0621
h2,Male,grasping,Fake Tail,AB,4,5,76.7932
l1,Male,grasping,Fake Tail,AB,4,1,78.6593
l1,Male,grasping,Fake Tail,AB,4,2,78.277
l1,Male,grasping,Fake Tail,AB,4,3,79.2078
l1,Male,grasping,Fake Tail,AB,4,4,77.9392
l1,Male,grasping,Fake Tail,AB,4,5,79.0046
a1,Female,grasping,Fake Tail,AB,5,1,70.5095
a1,Female,grasping,Fake Tail,AB,5,2,71.503
a1,Female,grasping,Fake Tail,AB,5,3,72.2128
a1,Female,grasping,Fake Tail,AB,5,4,73.2253
a1,Female,grasping,Fake Tail,AB,5,5,72.2049
d1,Female,grasping,Fake Tail,AB,5,1,71.3391
d1,Female,grasping,Fake Tail,AB,5,2,71.4495
d1,Female,grasping,Fake Tail,AB,5,3,71.6927
d1,Female,grasping,Fake Tail,AB,5,4,73.7056
d1,Female,grasping,Fake Tail,AB,5,5,70.5382
f2,Female,grasping,Fake Tail,AB,5,1,77.0028
f2,Female,grasping,Fake Tail,AB,5,2,75.5318
f2,Female,grasping,Fake Tail,AB,5,3,75.4035
f2,Female,grasping,Fake Tail,AB,5,4,75.8967
f2,Female,grasping,Fake Tail,AB,5,5,75.7876
h2,Male,grasping,Fake Tail,AB,5,1,77.1111
h2,Male,grasping,Fake Tail,AB,5,2,75.6459
h2,Male,grasping,Fake Tail,AB,5,3,75.8931
h2,Male,grasping,Fake Tail,AB,5,4,77.2934
h2,Male,grasping,Fake Tail,AB,5,5,75.8795
