sex,day,file.name,trial,trial.recording.duration,trial.recording.start,video.recording.start,elongation
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.e2.MTS,Trial    51,+ 00:00:30.063,03/09/2022 16:49:58.999,03/09/2022 16:48:20.000,75.6935
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.e2.MTS,Trial    52,+ 00:00:30.063,03/09/2022 16:50:29.129,03/09/2022 16:48:20.000,75.2483
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.e2.MTS,Trial    53,+ 00:00:30.063,03/09/2022 16:50:59.326,03/09/2022 16:48:20.000,76.0077
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.e2.MTS,Trial    54,+ 00:00:30.063,03/09/2022 16:51:29.456,03/09/2022 16:48:20.000,75.5791
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.e2.MTS,Trial    55,+ 00:00:23.090,03/09/2022 16:51:59.653,03/09/2022 16:48:20.000,76.2193
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f1.MTS,Trial    56,+ 00:00:30.063,03/09/2022 16:56:37.737,03/09/2022 16:56:34.000,68.493
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f1.MTS,Trial    57,+ 00:00:30.063,03/09/2022 16:57:07.901,03/09/2022 16:56:34.000,67.9525
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f1.MTS,Trial    58,+ 00:00:30.063,03/09/2022 16:57:38.064,03/09/2022 16:56:34.000,67.1176
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f1.MTS,Trial    59,+ 00:00:30.063,03/09/2022 16:58:08.261,03/09/2022 16:56:34.000,68.7894
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f1.MTS,Trial    60,+ 00:00:30.063,03/09/2022 16:58:38.424,03/09/2022 16:56:34.000,68.5235
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f1.MTS,Trial    61,+ 00:00:30.063,03/09/2022 16:59:08.588,03/09/2022 16:56:34.000,69.3359
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f2.MTS,Trial    62,+ 00:00:07.441,03/09/2022 17:00:44.936,03/09/2022 17:00:42.000,68.3434
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f2.MTS,Trial    63,+ 00:00:30.063,03/09/2022 17:01:24.809,03/09/2022 17:00:42.000,72.2984
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f2.MTS,Trial    64,+ 00:00:30.063,03/09/2022 17:01:54.940,03/09/2022 17:00:42.000,69.6134
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f2.MTS,Trial    65,+ 00:00:14.248,03/09/2022 17:02:25.103,03/09/2022 17:00:42.000,68.4285
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f2.MTS,Trial    66,+ 00:00:20.854,03/09/2022 17:03:12.817,03/09/2022 17:00:42.000,69.6391
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a1.MTS,Trial   115,+ 00:00:08.742,03/10/2022 12:19:22.736,03/10/2022 12:19:20.000,68.0633
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a1.MTS,Trial   116,+ 00:00:30.063,03/10/2022 12:19:52.533,03/10/2022 12:19:20.000,68.8748
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a1.MTS,Trial   117,+ 00:00:30.063,03/10/2022 12:20:22.729,03/10/2022 12:19:20.000,69.7668
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a1.MTS,Trial   118,+ 00:00:30.063,03/10/2022 12:20:52.893,03/10/2022 12:19:20.000,67.7828
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a1.MTS,Trial   119,+ 00:00:30.063,03/10/2022 12:21:23.023,03/10/2022 12:19:20.000,68.765
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a1.MTS,Trial   120,+ 00:00:30.063,03/10/2022 12:21:53.153,03/10/2022 12:19:20.000,68.6002
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a1.MTS,Trial   121,+ 00:00:26.860,03/10/2022 12:22:23.350,03/10/2022 12:19:20.000,70.1309
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a2.MTS,Trial   122,+ 00:00:30.063,03/10/2022 12:24:10.803,03/10/2022 12:24:08.000,68.8378
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a2.MTS,Trial   123,+ 00:00:30.063,03/10/2022 12:24:40.933,03/10/2022 12:24:08.000,69.0273
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a2.MTS,Trial   124,+ 00:00:30.063,03/10/2022 12:25:11.096,03/10/2022 12:24:08.000,69.31
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a2.MTS,Trial   125,+ 00:00:30.063,03/10/2022 12:25:41.260,03/10/2022 12:24:08.000,68.9434
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a2.MTS,Trial   126,+ 00:00:30.063,03/10/2022 12:26:11.423,03/10/2022 12:24:08.000,68.9483
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a2.MTS,Trial   127,+ 00:00:30.063,03/10/2022 12:26:41.554,03/10/2022 12:24:08.000,67.9868
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.b1.MTS,Trial   128,+ 00:00:30.063,03/10/2022 12:30:04.903,03/10/2022 12:30:02.000,72.3639
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.b1.MTS,Trial   129,+ 00:00:30.063,03/10/2022 12:30:35.066,03/10/2022 12:30:02.000,72.4953
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.b1.MTS,Trial   130,+ 00:00:30.063,03/10/2022 12:31:05.230,03/10/2022 12:30:02.000,72.5895
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.b1.MTS,Trial   131,+ 00:00:30.063,03/10/2022 12:31:35.393,03/10/2022 12:30:02.000,72.3727
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.b1.MTS,Trial   132,+ 00:00:30.063,03/10/2022 12:32:05.524,03/10/2022 12:30:02.000,72.4217
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.b1.MTS,Trial   133,+ 00:00:30.063,03/10/2022 12:32:35.654,03/10/2022 12:30:02.000,72.2351
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.b2.MTS,Trial   134,+ 00:00:30.063,03/10/2022 12:40:02.369,03/10/2022 12:40:00.000,69.2944
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.b2.MTS,Trial   135,+ 00:00:30.063,03/10/2022 12:40:32.499,03/10/2022 12:40:00.000,68.7472
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.b2.MTS,Trial   136,+ 00:00:30.063,03/10/2022 12:41:02.663,03/10/2022 12:40:00.000,67.3645
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.b2.MTS,Trial   137,+ 00:00:30.063,03/10/2022 12:41:32.826,03/10/2022 12:40:00.000,67.8785
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.b2.MTS,Trial   138,+ 00:00:30.063,03/10/2022 12:42:02.956,03/10/2022 12:40:00.000,68.1074
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.b2.MTS,Trial   139,+ 00:00:30.063,03/10/2022 12:42:33.120,03/10/2022 12:40:00.000,67.4854
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.c1.MTS,Trial   140,+ 00:00:30.063,03/10/2022 12:52:26.669,03/10/2022 12:52:24.000,73.4859
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.c1.MTS,Trial   141,+ 00:00:08.242,03/10/2022 12:52:56.799,03/10/2022 12:52:24.000,73.1076
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.c1.MTS,Trial   142,+ 00:00:30.063,03/10/2022 12:56:35.418,03/10/2022 12:52:24.000,72.9972
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.c1.MTS,Trial   143,+ 00:00:30.063,03/10/2022 12:57:05.548,03/10/2022 12:52:24.000,71.97
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.c1.MTS,Trial   144,+ 00:00:30.063,03/10/2022 12:57:35.678,03/10/2022 12:52:24.000,73.0788
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.c1.MTS,Trial   145,+ 00:00:30.063,03/10/2022 12:58:05.842,03/10/2022 12:52:24.000,70.8546
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.c2.MTS,Trial   146,+ 00:00:17.284,03/10/2022 12:58:38.769,03/10/2022 12:58:36.000,70.5288
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.c2.MTS,Trial   147,+ 00:00:30.063,03/10/2022 13:00:03.020,03/10/2022 12:58:36.000,70.2965
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.c2.MTS,Trial   148,+ 00:00:15.782,03/10/2022 13:00:33.150,03/10/2022 12:58:36.000,67.9978
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.c2.MTS,Trial   149,+ 00:00:30.063,03/10/2022 13:01:47.225,03/10/2022 12:58:36.000,72.6652
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.c2.MTS,Trial   150,+ 00:00:30.063,03/10/2022 13:02:17.388,03/10/2022 12:58:36.000,72.0518
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.c2.MTS,Trial   151,+ 00:00:30.063,03/10/2022 13:02:47.552,03/10/2022 12:58:36.000,72.1217
